Feature,Importance
categorical__State_Wisconsin,0.00039314383052980523
categorical__City_Indianapolis,0.000388869029692521
categorical__City_Gilbert,0.00038686248230104255
categorical__City_Madison,0.00038478888526188187
categorical__City_Sparks,0.0003824003777774174
categorical__City_Redlands,0.00038055503756586186
categorical__City_Cranston,0.00037866786378663864
categorical__City_Huntington Beach,0.0003671545826017742
categorical__State_Arizona,0.00036505521115452874
categorical__State_Florida,0.00036251776772036127
categorical__City_Vallejo,0.00035908105852936476
categorical__City_Clinton,0.0003529803251811239
categorical__City_Lorain,0.0003485364781971579
categorical__City_Franklin,0.00034406480876284174
categorical__City_Tamarac,0.00034295931979851736
categorical__City_Oxnard,0.0003410239854935861
categorical__City_Belleville,0.00033858764691608917
categorical__City_Greenwood,0.00033760395556895693
categorical__City_Tucson,0.0003268452648678914
categorical__State_Massachusetts,0.0003221415114483815
categorical__City_Oklahoma City,0.00031958265050714517
categorical__State_Connecticut,0.00031732115707100705
categorical__City_Marion,0.0003164054290080023
categorical__City_Mount Vernon,0.00031590229840280844
categorical__State_Louisiana,0.0003120566305975046
categorical__City_Wilmington,0.0003085135338353268
categorical__City_Lubbock,0.00030245747905373007
categorical__State_Arkansas,0.00030132012055690717
categorical__State_South Carolina,0.00029445429739006855
categorical__City_Richardson,0.0002862315557884753
categorical__City_Hempstead,0.00028177502747891314
categorical__City_Lowell,0.00027895803931856327
categorical__City_Raleigh,0.0002765814149916414
categorical__City_Oceanside,0.00027619069791236245
categorical__City_Lawrence,0.000274311465482525
categorical__City_Pasadena,0.00027398901125299716
categorical__City_Anaheim,0.0002736415892275671
categorical__City_Cheyenne,0.0002721711129238087
categorical__City_Pleasant Grove,0.000270395027398204
categorical__State_New Hampshire,0.0002693102798856907
categorical__City_Decatur,0.00026782501714266475
categorical__State_Wyoming,0.00026767166782334305
categorical__City_Lakeland,0.0002620273344706847
categorical__City_Riverside,0.00026105920104216426
categorical__City_Hampton,0.00025680763871972366
categorical__City_Colorado Springs,0.000256374335023529
categorical__City_Miami,0.000252540071621127
categorical__City_Tampa,0.000244243155950153
categorical__City_Redondo Beach,0.00024028596750325895
categorical__City_Cleveland,0.0002374733178608748
categorical__City_Louisville,0.00023481494228687336
categorical__City_Roseville,0.00023476753576162222
categorical__City_Gresham,0.00022694913639593757
categorical__Sub-Category_Art,0.00022560358170700998
categorical__City_Athens,0.00022463476792572022
categorical__State_Tennessee,0.00022203642824135007
categorical__City_Sandy Springs,0.0002219769757412471
categorical__City_Plano,0.00021912196102850723
categorical__City_Harrisonburg,0.00021514022844717034
categorical__City_Virginia Beach,0.00020452361497977467
categorical__State_Iowa,0.00019409445344583238
categorical__City_Kent,0.000193921983923003
categorical__City_Kenosha,0.00019177673224595533
categorical__City_Dubuque,0.00019147645720041795
categorical__City_Warwick,0.00018699010852321558
categorical__State_New Jersey,0.00018323082779979656
categorical__State_Delaware,0.00017699141429313925
categorical__City_Troy,0.0001740228051587226
categorical__City_Dublin,0.00017360904034239416
categorical__City_Jonesboro,0.00017055541679530646
categorical__State_Oregon,0.00016984228255923853
categorical__City_Greenville,0.00016585099563738468
categorical__City_Auburn,0.00016189784127002823
categorical__City_Edmond,0.00015218555665631668
categorical__City_South Bend,0.0001493096368807513
categorical__City_Fayetteville,0.00014851225820199261
categorical__City_Washington,0.00014608768648123095
categorical__State_District of Columbia,0.00014468233361968497
categorical__Sub-Category_Envelopes,0.00014364481181895983
categorical__City_Orem,0.00013769593422249287
categorical__City_Brentwood,0.0001366625436699466
categorical__City_Austin,0.0001344690217933662
categorical__City_Chula Vista,0.00013323930979474008
categorical__City_Pasco,0.00013291622792771637
categorical__City_Eugene,0.00013190128490217097
categorical__City_Akron,0.0001271562218823975
categorical__City_Des Moines,0.0001242486439921924
categorical__City_Medina,0.00012198754932343854
categorical__City_Passaic,0.00012079945326750662
categorical__City_Chico,0.00011961176647883804
categorical__City_Superior,0.00011903037814207245
categorical__City_Georgetown,0.0001179010751638124
categorical__City_Stockton,0.00011779320782095839
categorical__City_Glendale,0.0001154624875268906
categorical__City_Dearborn Heights,0.00011480928922743535
categorical__Sub-Category_Fasteners,0.00011149017537577477
categorical__Sub-Category_Labels,0.00010914367393202548
categorical__City_Danville,0.00010787028794487643
categorical__City_Spokane,0.0001039758158132329
categorical__City_Grand Rapids,0.00010346382244295403
categorical__City_Perth Amboy,0.00010344583829874763
categorical__City_Pharr,0.00010235503455738224
categorical__City_Manchester,9.989702174742657e-05
categorical__City_Everett,9.951738074750395e-05
categorical__City_Apopka,9.788234207690278e-05
categorical__City_Fremont,9.757086696242762e-05
categorical__City_Albuquerque,9.338217778102545e-05
categorical__City_El Paso,9.252709605262542e-05
categorical__City_Woodstock,8.724960579745384e-05
categorical__City_Baltimore,8.372957355876443e-05
categorical__City_Ann Arbor,8.165770951028971e-05
categorical__City_Provo,7.845905430079478e-05
categorical__City_Tigard,7.743115977411699e-05
categorical__City_Pomona,7.550025079217771e-05
categorical__City_Monroe,7.416124592841447e-05
categorical__City_La Porte,7.305435391676022e-05
categorical__City_Las Vegas,7.054511232831342e-05
categorical__City_Hialeah,7.005049445218542e-05
categorical__City_Evanston,6.975471652102515e-05
categorical__City_Hackensack,6.791271810715148e-05
categorical__City_Kissimmee,6.772115471904367e-05
categorical__City_Middletown,6.467932743878154e-05
categorical__City_Lansing,6.40450233887286e-05
categorical__City_Saint Louis,6.369076064724454e-05
categorical__City_Saint Cloud,6.331401189065194e-05
categorical__City_Missoula,6.218307648889906e-05
categorical__City_Mesa,6.17747581565685e-05
categorical__City_Miramar,6.16833470292835e-05
categorical__City_Broken Arrow,5.969963819652053e-05
categorical__City_Round Rock,5.9288930593956744e-05
categorical__City_Camarillo,5.837699327056111e-05
